160 8 
2 0 
500
0 1  0 
0 -1  1 
0 6.12323e-17  2 
-1 1 0 0 
1 1 1 0 
-1 -1 0 1 
1 -1 1 1 
-1 6.12323e-17 0 2 
0 -0.577316  3 
1 6.12323e-17 1 2 
-0.5 1 01 0 
-0.5 -1 01 1 
0.5 1 10 0 
0.5 -1 10 1 
-0.5 6.12323e-17 01 2 
0.5 6.12323e-17 10 2 
-1 -0.577316 0 3 
1 -0.577316 1 3 
-0.75 1 010 0 
-0.75 -1 010 1 
0 0.658716  4 
-0.75 6.12323e-17 010 2 
0.75 1 101 0 
0.75 -1 101 1 
-0.25 1 011 0 
-0.25 -1 011 1 
0.75 6.12323e-17 101 2 
-0.5 -0.577316 01 3 
0.25 1 100 0 
0.25 -1 100 1 
0.5 -0.577316 10 3 
-0.875 1 0100 0 
-0.625 1 0101 0 
-0.875 -1 0100 1 
-0.625 -1 0101 1 
-0.875 6.12323e-17 0100 2 
-1 0.658716 0 4 
0.875 1 1011 0 
0.875 -1 1011 1 
0.875 6.12323e-17 1011 2 
1 0.658716 1 4 
-0.25 6.12323e-17 011 2 
0.25 6.12323e-17 100 2 
-0.9375 1 01000 0 
0 -0.83924  5 
-0.9375 -1 01000 1 
-0.9375 6.12323e-17 01000 2 
0.9375 1 10111 0 
0.625 1 1010 0 
0.9375 -1 10111 1 
0.625 -1 1010 1 
0.9375 6.12323e-17 10111 2 
-0.375 1 0110 0 
-0.625 6.12323e-17 0101 2 
0.625 6.12323e-17 1010 2 
-0.96875 1 010000 0 
-0.125 1 0111 0 
-0.96875 -1 010000 1 
-0.96875 6.12323e-17 010000 2 
0.96875 1 101111 0 
-0.75 -0.577316 010 3 
0.96875 -1 101111 1 
0.96875 6.12323e-17 101111 2 
-0.984375 1 0100000 0 
0.125 1 1000 0 
-0.984375 -1 0100000 1 
-0.984375 6.12323e-17 0100000 2 
0.984375 1 1011111 0 
0.375 1 1001 0 
0.984375 -1 1011111 1 
0.984375 6.12323e-17 1011111 2 
-0.5 0.658716 01 4 
0.75 -0.577316 101 3 
0.5 0.658716 10 4 
-0.8125 1 01001 0 
-0.8125 -1 01001 1 
-0.6875 1 01010 0 
-0.8125 6.12323e-17 01001 2 
0.8125 1 10110 0 
0.8125 -1 10110 1 
-0.5625 1 01011 0 
0.8125 6.12323e-17 10110 2 
-0.992188 1 01000000 0 
-0.992188 -1 01000000 1 
-0.25 -0.577316 011 3 
-0.992188 6.12323e-17 01000000 2 
0.992188 1 10111111 0 
0.992188 -1 10111111 1 
0.25 -0.577316 100 3 
0.992188 6.12323e-17 10111111 2 
-0.875 -0.577316 0100 3 
0.875 -0.577316 1011 3 
-0.90625 1 010001 0 
-0.90625 -1 010001 1 
-0.90625 6.12323e-17 010001 2 
0.90625 1 101110 0 
-1 -0.83924 0 5 
0.90625 -1 101110 1 
0.90625 6.12323e-17 101110 2 
-0.996094 1 010000000 0 
1 -0.83924 1 5 
-0.996094 -1 010000000 1 
-0.996094 6.12323e-17 010000000 2 
0.996094 1 101111111 0 
0 0.870029  6 
0.996094 -1 101111111 1 
0.996094 6.12323e-17 101111111 2 
